FechaHora,Operador,ShopOrder,PalletID,Serial,Resultado,Defecto
2025-06-04 08:11:38,62012565,000012479269,"('10014117102',)",K1045D1APC107128,PASA,
2025-06-04 08:12:37,62012565,000012479269,"('10014117102',)",K1045D1APC108918,PASA,
2025-06-04 08:13:13,62012565,000012479269,"('10014117102',)",K1045D1APC108766,PASA,
2025-06-04 08:14:04,62012565,000012479269,"('10014117102',)",K1045D1APC108734,PASA,
2025-06-04 08:14:35,62012565,000012479269,"('10014117102',)",K1045D1APC108776,PASA,
2025-06-04 08:15:16,62012565,000012479269,"('10014117102',)",K1045D1APC108764,PASA,
2025-06-04 08:15:51,62012565,000012479269,"('10014117102',)",K1045D1APC108743,PASA,
2025-06-04 08:17:00,62012565,000012479269,"('10014117102',)",K1045D1APC108768,PASA,
2025-06-04 08:17:47,62012565,000012479269,"('10014117102',)",K1045D1APC108753,PASA,
2025-06-04 08:19:27,62012565,000012479269,"('10014117102',)",K1045D1APC108750,PASA,
2025-06-04 08:20:15,62012565,000012479269,"('10014117102',)",K1045D1APC108923,PASA,
2025-06-04 08:21:08,62012565,000012479269,"('10014117102',)",K1045D1APC108924,PASA,
2025-06-04 08:21:53,62012565,000012479269,"('10014117102',)",K1045D1APC108908,PASA,
2025-06-04 08:23:10,62012565,000012479269,"('10014117102',)",K1045D1APC107090,PASA,
2025-06-04 08:23:24,62012565,000012479269,"('10014117102',)",K1045D1APC108760,PASA,
2025-06-04 08:24:48,62012565,000012479269,"('10014117102',)",K1045D1APC108775,PASA,
2025-06-04 08:25:15,62012565,000012479269,"('10014117102',)",K1045D1APC107087,PASA,
2025-06-04 08:31:36,62012565,000012479269,"('10014117102',)",K1045D1APC107283,PASA,
2025-06-04 08:32:03,62012565,000012479269,"('10014117102',)",K1045D1APC110222,PASA,
2025-06-04 08:33:16,62012565,000012479269,"('10014117102',)",K1045D1APC109537,PASA,
2025-06-04 08:33:42,62012565,000012479269,"('10014117102',)",K1045D1APC109660,PASA,
2025-06-04 08:34:29,62012565,000012479269,"('10014117102',)",K1045D1APC109525,PASA,
2025-06-04 08:35:02,62012565,000012479269,"('10014117102',)",K1045D1APC109644,PASA,
2025-06-04 08:36:00,62012565,000012479269,"('10014117102',)",K1045D1APC109627,PASA,
2025-06-04 08:36:55,62012565,000012479269,"('10014117102',)",K1045D1APC109555,PASA,
2025-06-04 08:38:00,62012565,000012479269,"('10014117102',)",K1045D1APC110244,PASA,
2025-06-04 08:38:28,62012565,000012479269,"('10014117102',)",K1045D1APC109630,PASA,
2025-06-04 08:39:14,62012565,000012479269,"('10014117102',)",K1045D1APC110248,PASA,
2025-06-04 08:39:57,62012565,000012479269,"('10014117102',)",K1045D1APC109522,PASA,
2025-06-04 08:40:52,62012565,000012479269,"('10014117102',)",K1045D1APC108121,PASA,
2025-06-04 08:41:18,62012565,000012479269,"('10014117102',)",K1045D1APC109629,PASA,
2025-06-04 08:42:03,62012565,000012479269,"('10014117102',)",K1045D1APC109616,PASA,
2025-06-04 08:42:27,62012565,000012479269,"('10014117102',)",K1045D1APC109515,PASA,
2025-06-04 08:43:24,62012565,000012479269,"('10014117102',)",K1045D1APC109917,PASA,
2025-06-04 08:44:16,62012565,000012479269,"('10014117102',)",K1045D1APC109528,PASA,
2025-06-04 08:45:17,62012565,000012479269,"('10014117102',)",K1045D1APC108124,PASA,
2025-06-04 08:45:49,62012565,000012479269,"('10014117102',)",K1045D1APC109516,PASA,
2025-06-04 08:46:35,62012565,000012479269,"('10014117102',)",K1045D1APC108115,PASA,
2025-06-04 08:47:20,62012565,000012479269,"('10014117102',)",K1045D1APC109514,PASA,
2025-06-04 08:48:13,62012565,000012479269,"('10014117102',)",K1045D1APC109585,PASA,
2025-06-04 08:48:43,62012565,000012479269,"('10014117102',)",K1045D1APC109563,PASA,
2025-06-04 08:50:36,62012565,000012479269,"('10014117102',)",K1045D1APC110090,PASA,
2025-06-04 08:51:04,62012565,000012479269,"('10014117102',)",K1045D1APC110091,PASA,
2025-06-04 08:55:12,62012565,000012479269,"('10014117102',)",K1045D1APC107129,PASA,
2025-06-04 08:55:45,62012565,000012479269,"('10014117102',)",K1045D1APC107597,PASA,
2025-06-04 08:56:33,62012565,000012479269,"('10014117102',)",K1045D1APC107225,PASA,
2025-06-04 08:57:17,62012565,000012479269,"('10014117102',)",K1045D1APC107756,PASA,
2025-06-04 08:58:08,62012565,000012479269,"('10014117102',)",K1045D1APC107570,PASA,
2025-06-04 08:58:51,62012565,000012479269,"('10014117102',)",K1045D1APC107773,PASA,
2025-06-04 08:59:39,62012565,000012479269,"('10014117102',)",K1045D1APC108702,PASA,
2025-06-04 09:00:09,62012565,000012479269,"('10014117102',)",K1045D1APC107607,PASA,
2025-06-04 09:00:50,62012565,000012479269,"('10014117102',)",K1045D1APC107603,PASA,
2025-06-04 09:01:48,62012565,000012479269,"('10014117102',)",K1045D1APC107623,FALLA,L30 - Single Particle - Cell
2025-06-04 09:03:10,62012565,000012479269,"('10014117102',)",K1045D1APC108724,PASA,
2025-06-04 09:04:30,62012565,000012479269,"('10014117102',)",K1045D1APC107628,PASA,
2025-06-04 09:05:15,62012565,000012479269,"('10014117102',)",K1045D1APC107758,PASA,
2025-06-04 09:06:06,62012565,000012479269,"('10014117102',)",K1045D1APC107604,PASA,
2025-06-04 09:06:37,62012565,000012479269,"('10014117102',)",K1045D1APC108683,PASA,
2025-06-04 09:07:18,62012565,000012479269,"('10014117102',)",K1045D1APC108751,PASA,
2025-06-04 09:07:55,62012565,000012479269,"('10014117102',)",K1045D1APC108062,PASA,
2025-06-04 09:09:18,62012565,000012479269,"('10014117102',)",K1045D1APC108025,PASA,
2025-06-04 09:09:47,62012565,000012479269,"('10014117102',)",K1045D1APC108033,PASA,
2025-06-04 09:10:40,62012565,000012479269,"('10014117102',)",K1045D1APC108689,PASA,
2025-06-04 09:13:01,62012565,000012479269,"('10014117102',)",K1045D1APC108717,PASA,
2025-06-04 09:13:53,62012565,000012479269,"('10014117102',)",K1045D1APC108053,PASA,
2025-06-04 09:14:27,62012565,000012479269,"('10014117102',)",K1045D1APC108027,PASA,
2025-06-04 09:15:16,62012565,000012479269,"('10014117102',)",K1045D1APC108028,PASA,
2025-06-04 09:15:52,62012565,000012479269,"('10014117102',)",K1045D1APC108711,PASA,
2025-06-04 09:16:29,62012565,000012479269,"('10014117102',)",K1045D1APC108738,PASA,
2025-06-04 09:23:18,62012565,000012479269,"('10014117102',)",K1045D1APC109088,PASA,
